20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:41 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:42 - SelfDrivingLogger - WARNING - No left line was detected
20:20:43 - SelfDrivingLogger - WARNING - No left line was detected
20:20:43 - SelfDrivingLogger - WARNING - No left line was detected
20:20:51 - SelfDrivingLogger - WARNING - No left line was detected
20:20:51 - SelfDrivingLogger - WARNING - No left line was detected
20:20:52 - SelfDrivingLogger - WARNING - No left line was detected
20:20:52 - SelfDrivingLogger - WARNING - No left line was detected
20:20:53 - SelfDrivingLogger - WARNING - No left line was detected
20:20:53 - SelfDrivingLogger - WARNING - No left line was detected
20:20:53 - SelfDrivingLogger - WARNING - No left line was detected
20:20:53 - SelfDrivingLogger - WARNING - No left line was detected
20:20:54 - SelfDrivingLogger - WARNING - No left line was detected
20:20:54 - SelfDrivingLogger - WARNING - No left line was detected
20:20:54 - SelfDrivingLogger - WARNING - No left line was detected
20:20:54 - SelfDrivingLogger - WARNING - No left line was detected
20:20:55 - SelfDrivingLogger - WARNING - No left line was detected
20:20:55 - SelfDrivingLogger - WARNING - No left line was detected
20:20:57 - SelfDrivingLogger - WARNING - No left line was detected
20:20:57 - SelfDrivingLogger - WARNING - No left line was detected
20:20:57 - SelfDrivingLogger - WARNING - No left line was detected
